[Full Training] Normal loss: 2.2070, Plan similarity: 0.5000, Random contrast: 0.6016
[Full Training] Normal loss: 0.2039, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.1608, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1689, Plan similarity: 0.5000, Random contrast: 0.6523
[Full Training] Normal loss: 0.1260, Plan similarity: 0.5000, Random contrast: 0.5977
[Full Training] Normal loss: 0.1503, Plan similarity: 0.5000, Random contrast: 0.6328
[Full Training] Normal loss: 0.1169, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.1699, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.2855, Plan similarity: 0.5000, Random contrast: 0.6172
[Full Training] Normal loss: 0.1258, Plan similarity: 0.5000, Random contrast: 0.6523
[Full Training] Normal loss: 0.1152, Plan similarity: 0.5000, Random contrast: 0.6367
[Full Training] Normal loss: 0.1884, Plan similarity: 0.5000, Random contrast: 0.6484
[Full Training] Normal loss: 0.2511, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.2427, Plan similarity: 0.5000, Random contrast: 0.6328
[Full Training] Normal loss: 0.1541, Plan similarity: 0.5000, Random contrast: 0.6406
[Full Training] Normal loss: 0.1609, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.2303, Plan similarity: 0.5000, Random contrast: 0.6445
[Full Training] Normal loss: 0.1265, Plan similarity: 0.5000, Random contrast: 0.6484
[Full Training] Normal loss: 0.2046, Plan similarity: 0.5000, Random contrast: 0.6133
[Full Training] Normal loss: 0.1508, Plan similarity: 0.5000, Random contrast: 0.6328
[Full Training] Normal loss: 0.1177, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1288, Plan similarity: 0.5000, Random contrast: 0.6445
[Full Training] Normal loss: 0.1299, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.1608, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.2420, Plan similarity: 0.5000, Random contrast: 0.6250
[Full Training] Normal loss: 0.1464, Plan similarity: 0.5000, Random contrast: 0.6484
[Full Training] Normal loss: 0.1535, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2351, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1808, Plan similarity: 0.5000, Random contrast: 0.6289
[Full Training] Normal loss: 0.1920, Plan similarity: 0.5000, Random contrast: 0.6484
[Full Training] Normal loss: 0.1553, Plan similarity: 0.5000, Random contrast: 0.6445
[Full Training] Normal loss: 0.1221, Plan similarity: 0.5000, Random contrast: 0.5938
[Full Training] Normal loss: 0.1731, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1698, Plan similarity: 0.5000, Random contrast: 0.6523
[Full Training] Normal loss: 0.1625, Plan similarity: 0.5000, Random contrast: 0.6289
[Full Training] Normal loss: 0.1604, Plan similarity: 0.5000, Random contrast: 0.6328
[Full Training] Normal loss: 0.2087, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.2517, Plan similarity: 0.5000, Random contrast: 0.6250
[Full Training] Normal loss: 0.1247, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1693, Plan similarity: 0.5000, Random contrast: 0.6055
[Full Training] Normal loss: 0.2184, Plan similarity: 0.5000, Random contrast: 0.6406
[Full Training] Normal loss: 0.1290, Plan similarity: 0.5000, Random contrast: 0.6094
[Full Training] Normal loss: 0.1169, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1098, Plan similarity: 0.5000, Random contrast: 0.6484
[Full Training] Normal loss: 0.1453, Plan similarity: 0.5000, Random contrast: 0.6328
[Full Training] Normal loss: 0.1222, Plan similarity: 0.5000, Random contrast: 0.6094
[Full Training] Normal loss: 0.1783, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1752, Plan similarity: 0.5000, Random contrast: 0.6328
[Full Training] Normal loss: 0.2022, Plan similarity: 0.5000, Random contrast: 0.6211
[Full Training] Normal loss: 0.1690, Plan similarity: 0.5000, Random contrast: 0.6172
[Full Training] Normal loss: 0.1361, Plan similarity: 0.5000, Random contrast: 0.6250
[Full Training] Normal loss: 0.2261, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.2074, Plan similarity: 0.5000, Random contrast: 0.6484
[Full Training] Normal loss: 0.1324, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.1013, Plan similarity: 0.5000, Random contrast: 0.6328
[Full Training] Normal loss: 0.1323, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.1395, Plan similarity: 0.5000, Random contrast: 0.6172
[Full Training] Normal loss: 0.1436, Plan similarity: 0.5000, Random contrast: 0.6445
[Full Training] Normal loss: 0.1020, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.3465, Plan similarity: 0.5000, Random contrast: 0.6406
[Full Training] Normal loss: 0.1421, Plan similarity: 0.5000, Random contrast: 0.6406
[Full Training] Normal loss: 0.1624, Plan similarity: 0.5000, Random contrast: 0.6406
[Full Training] Normal loss: 0.2415, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.2218, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.1659, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.1481, Plan similarity: 0.5000, Random contrast: 0.6484
[Full Training] Normal loss: 0.1911, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1702, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1692, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.0882, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.2309, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1860, Plan similarity: 0.5000, Random contrast: 0.6484
[Full Training] Normal loss: 0.1916, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1172, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1466, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.1606, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1251, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2089, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1968, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1844, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2588, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1676, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1879, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2624, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1696, Plan similarity: 0.5000, Random contrast: 0.6836
[Full Training] Normal loss: 0.1705, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.1835, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.2596, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.2006, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1727, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.2344, Plan similarity: 0.5000, Random contrast: 0.6523
[Full Training] Normal loss: 0.2592, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.2667, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2199, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1690, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2851, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2866, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.2443, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.3012, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2214, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.2092, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.3398, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1752, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2505, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2156, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2114, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.1330, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2051, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1879, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1750, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1997, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1718, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.2373, Plan similarity: 0.5000, Random contrast: 0.6602
[Full Training] Normal loss: 0.2715, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2375, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2334, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.2139, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1158, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2021, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.0927, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.2050, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1496, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1506, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1720, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1668, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1599, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.2234, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1775, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1439, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1348, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1521, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1524, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1795, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1259, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1897, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2547, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2337, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2053, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.2288, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1476, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2272, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1924, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.2199, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1396, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.1778, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1916, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.3443, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1809, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2191, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1559, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.3425, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1023, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2405, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1429, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2430, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2327, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1732, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1138, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1608, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1679, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1785, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1958, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1315, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2169, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1550, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1685, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1848, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1730, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.1506, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2598, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1009, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1917, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1404, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1768, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1159, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1486, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1006, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1437, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1902, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.0895, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1503, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2262, Plan similarity: 0.5000, Random contrast: 0.6836
[Full Training] Normal loss: 0.1283, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1451, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1385, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1980, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1515, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1850, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1694, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1350, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1729, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.0975, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.0951, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2077, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2580, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1365, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1036, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2002, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1425, Plan similarity: 0.5000, Random contrast: 0.6836
[Full Training] Normal loss: 0.1432, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.2047, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1037, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1252, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1692, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1808, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1165, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1853, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1081, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1590, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1845, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1611, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1096, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1776, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2872, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1703, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1246, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1779, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1193, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1570, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1163, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1751, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1253, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1490, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2273, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1303, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1797, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1829, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1163, Plan similarity: 0.5000, Random contrast: 0.6836
[Full Training] Normal loss: 0.1508, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1454, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1162, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2161, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1263, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1149, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1449, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2234, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1272, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1065, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.1628, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1511, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2115, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1655, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1021, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1968, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1971, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.1027, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.0949, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.0997, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1219, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.2231, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1851, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1781, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1613, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1436, Plan similarity: 0.5000, Random contrast: 0.6836
[Full Training] Normal loss: 0.1931, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1621, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1537, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.0884, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2525, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1971, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1676, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.1899, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1871, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1090, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1438, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1530, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1094, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.0850, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2206, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1885, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1175, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1689, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1305, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1571, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.0939, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1621, Plan similarity: 0.5000, Random contrast: 0.6836
[Full Training] Normal loss: 0.1442, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1614, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1071, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1419, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1595, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1899, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1514, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2088, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1372, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1911, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1599, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1737, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1163, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2026, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.1360, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.0882, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1879, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1273, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.0886, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1706, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.1224, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.1386, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1549, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1473, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1177, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1189, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1746, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.0998, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1391, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1652, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1172, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1439, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1539, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1057, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.1049, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.2159, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.1095, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1379, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1222, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1812, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1402, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1811, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1582, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1621, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1521, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1097, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1519, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1969, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.1705, Plan similarity: 0.5000, Random contrast: 0.6680
